Corporate body type,Year,Value,Value_obsStatus
assurance-company,2003-04,933,
charitable-incorporated-organisation,2003-04,0,
european-economic-interest-grouping-eeig,2003-04,183,
european-public-limited-liability-company-se,2003-04,0,
further-education-and-sixth-form-college-corps,2003-04,0,
investment-company-with-variable-capital,2003-04,104,
investment-company-with-variable-capital-securities,2003-04,11,
investment-company-with-variable-capital-umbrella,2003-04,90,
limited-liability-partnership,2003-04,7396,
limited-partnership,2003-04,11270,
northern-ireland-company,2003-04,24,
old-public-company,2003-04,53,
other-company-type,2003-04,16,
other-type-of-company-in-northern-ireland,2003-04,0,
overseas-company,2003-04,7746,
-private-limited,2003-04,1965319,
-private-limited-by-guarantee/no-share-capital,2003-04,45469,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2003-04,22168,
-private-limited-by-shares-section-30-exemption,2003-04,21,
-private-unlimited,2003-04,7278,
-private-unlimited/no-share-capital,2003-04,117,
-public-limited-company,2003-04,9273,
protected-cell-company,2003-04,0,
registered-society,2003-04,8861,
royal-charter-company,2003-04,800,
scottish-charitable-incorporated-organisation,2003-04,0,
scottish-partnership,2003-04,0,
united-kingdom-economic-interest-grouping,2003-04,,z
united-kingdom-societas,2003-04,,z
unregistered-company,2003-04,50,
total,2003-04,2087182,
assurance-company,2004-05,931,
charitable-incorporated-organisation,2004-05,0,
european-economic-interest-grouping-eeig,2004-05,187,
european-public-limited-liability-company-se,2004-05,1,
further-education-and-sixth-form-college-corps,2004-05,0,
investment-company-with-variable-capital,2004-05,134,
investment-company-with-variable-capital-securities,2004-05,11,
investment-company-with-variable-capital-umbrella,2004-05,90,
limited-liability-partnership,2004-05,11942,
limited-partnership,2004-05,12390,
northern-ireland-company,2004-05,14,
old-public-company,2004-05,33,
other-company-type,2004-05,15,
other-type-of-company-in-northern-ireland,2004-05,0,
overseas-company,2004-05,7827,
-private-limited,2004-05,2105481,
-private-limited-by-guarantee/no-share-capital,2004-05,49701,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2004-05,24506,
-private-limited-by-shares-section-30-exemption,2004-05,21,
-private-unlimited,2004-05,7536,
-private-unlimited/no-share-capital,2004-05,118,
-public-limited-company,2004-05,9441,
protected-cell-company,2004-05,0,
registered-society,2004-05,8801,
royal-charter-company,2004-05,800,
scottish-charitable-incorporated-organisation,2004-05,0,
scottish-partnership,2004-05,0,
united-kingdom-economic-interest-grouping,2004-05,,z
united-kingdom-societas,2004-05,,z
unregistered-company,2004-05,50,
total,2004-05,2240030,
assurance-company,2005-06,931,
charitable-incorporated-organisation,2005-06,0,
european-economic-interest-grouping-eeig,2005-06,187,
european-public-limited-liability-company-se,2005-06,1,
further-education-and-sixth-form-college-corps,2005-06,0,
investment-company-with-variable-capital,2005-06,166,
investment-company-with-variable-capital-securities,2005-06,11,
investment-company-with-variable-capital-umbrella,2005-06,90,
limited-liability-partnership,2005-06,17620,
limited-partnership,2005-06,13448,
northern-ireland-company,2005-06,8,
old-public-company,2005-06,30,
other-company-type,2005-06,14,
other-type-of-company-in-northern-ireland,2005-06,0,
overseas-company,2005-06,7997,
-private-limited,2005-06,2263552,
-private-limited-by-guarantee/no-share-capital,2005-06,53647,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2005-06,26290,
-private-limited-by-shares-section-30-exemption,2005-06,21,
-private-unlimited,2005-06,7202,
-private-unlimited/no-share-capital,2005-06,115,
-public-limited-company,2005-06,9656,
protected-cell-company,2005-06,0,
registered-society,2005-06,8699,
royal-charter-company,2005-06,800,
scottish-charitable-incorporated-organisation,2005-06,0,
scottish-partnership,2005-06,0,
united-kingdom-economic-interest-grouping,2005-06,,z
united-kingdom-societas,2005-06,,z
unregistered-company,2005-06,50,
total,2005-06,2410535,
assurance-company,2006-07,930,
charitable-incorporated-organisation,2006-07,0,
european-economic-interest-grouping-eeig,2006-07,189,
european-public-limited-liability-company-se,2006-07,3,
further-education-and-sixth-form-college-corps,2006-07,0,
investment-company-with-variable-capital,2006-07,223,
investment-company-with-variable-capital-securities,2006-07,11,
investment-company-with-variable-capital-umbrella,2006-07,90,
limited-liability-partnership,2006-07,24825,
limited-partnership,2006-07,14430,
northern-ireland-company,2006-07,3,
old-public-company,2006-07,29,
other-company-type,2006-07,13,
other-type-of-company-in-northern-ireland,2006-07,0,
overseas-company,2006-07,8078,
-private-limited,2006-07,2485605,
-private-limited-by-guarantee/no-share-capital,2006-07,58013,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2006-07,27895,
-private-limited-by-shares-section-30-exemption,2006-07,21,
-private-unlimited,2006-07,7126,
-private-unlimited/no-share-capital,2006-07,107,
-public-limited-company,2006-07,9866,
protected-cell-company,2006-07,0,
registered-society,2006-07,8553,
royal-charter-company,2006-07,800,
scottish-charitable-incorporated-organisation,2006-07,0,
scottish-partnership,2006-07,0,
united-kingdom-economic-interest-grouping,2006-07,,z
united-kingdom-societas,2006-07,,z
unregistered-company,2006-07,49,
total,2006-07,2646859,
assurance-company,2007-08,929,
charitable-incorporated-organisation,2007-08,0,
european-economic-interest-grouping-eeig,2007-08,201,
european-public-limited-liability-company-se,2007-08,5,
further-education-and-sixth-form-college-corps,2007-08,0,
investment-company-with-variable-capital,2007-08,283,
investment-company-with-variable-capital-securities,2007-08,11,
investment-company-with-variable-capital-umbrella,2007-08,90,
limited-liability-partnership,2007-08,32499,
limited-partnership,2007-08,15634,
northern-ireland-company,2007-08,1,
old-public-company,2007-08,29,
other-company-type,2007-08,12,
other-type-of-company-in-northern-ireland,2007-08,0,
overseas-company,2007-08,8255,
-private-limited,2007-08,2624110,
-private-limited-by-guarantee/no-share-capital,2007-08,62561,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2007-08,29837,
-private-limited-by-shares-section-30-exemption,2007-08,20,
-private-unlimited,2007-08,6765,
-private-unlimited/no-share-capital,2007-08,107,
-public-limited-company,2007-08,9900,
protected-cell-company,2007-08,0,
registered-society,2007-08,8429,
royal-charter-company,2007-08,800,
scottish-charitable-incorporated-organisation,2007-08,0,
scottish-partnership,2007-08,0,
united-kingdom-economic-interest-grouping,2007-08,,z
united-kingdom-societas,2007-08,,z
unregistered-company,2007-08,48,
total,2007-08,2800526,
assurance-company,2008-09,929,
charitable-incorporated-organisation,2008-09,0,
european-economic-interest-grouping-eeig,2008-09,210,
european-public-limited-liability-company-se,2008-09,12,
further-education-and-sixth-form-college-corps,2008-09,0,
investment-company-with-variable-capital,2008-09,334,
investment-company-with-variable-capital-securities,2008-09,11,
investment-company-with-variable-capital-umbrella,2008-09,90,
limited-liability-partnership,2008-09,38956,
limited-partnership,2008-09,16789,
northern-ireland-company,2008-09,1,
old-public-company,2008-09,29,
other-company-type,2008-09,12,
other-type-of-company-in-northern-ireland,2008-09,0,
overseas-company,2008-09,8700,
-private-limited,2008-09,2659145,
-private-limited-by-guarantee/no-share-capital,2008-09,66244,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2008-09,31717,
-private-limited-by-shares-section-30-exemption,2008-09,20,
-private-unlimited,2008-09,6113,
-private-unlimited/no-share-capital,2008-09,105,
-public-limited-company,2008-09,9723,
protected-cell-company,2008-09,0,
registered-society,2008-09,8618,
royal-charter-company,2008-09,808,
scottish-charitable-incorporated-organisation,2008-09,0,
scottish-partnership,2008-09,0,
united-kingdom-economic-interest-grouping,2008-09,,z
united-kingdom-societas,2008-09,,z
unregistered-company,2008-09,48,
total,2008-09,2848614,
assurance-company,2009-10,929,
charitable-incorporated-organisation,2009-10,0,
european-economic-interest-grouping-eeig,2009-10,222,
european-public-limited-liability-company-se,2009-10,22,
further-education-and-sixth-form-college-corps,2009-10,0,
investment-company-with-variable-capital,2009-10,373,
investment-company-with-variable-capital-securities,2009-10,11,
investment-company-with-variable-capital-umbrella,2009-10,90,
limited-liability-partnership,2009-10,41386,
limited-partnership,2009-10,17893,
northern-ireland-company,2009-10,1,
old-public-company,2009-10,28,
other-company-type,2009-10,12,
other-type-of-company-in-northern-ireland,2009-10,0,
overseas-company,2009-10,9148,
-private-limited,2009-10,2523132,
-private-limited-by-guarantee/no-share-capital,2009-10,68218,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2009-10,32861,
-private-limited-by-shares-section-30-exemption,2009-10,20,
-private-unlimited,2009-10,5574,
-private-unlimited/no-share-capital,2009-10,108,
-public-limited-company,2009-10,9127,
protected-cell-company,2009-10,0,
registered-society,2009-10,8827,
royal-charter-company,2009-10,818,
scottish-charitable-incorporated-organisation,2009-10,0,
scottish-partnership,2009-10,0,
united-kingdom-economic-interest-grouping,2009-10,,z
united-kingdom-societas,2009-10,,z
unregistered-company,2009-10,46,
total,2009-10,2718846,
assurance-company,2010-11,929,
charitable-incorporated-organisation,2010-11,0,
european-economic-interest-grouping-eeig,2010-11,235,
european-public-limited-liability-company-se,2010-11,21,
further-education-and-sixth-form-college-corps,2010-11,0,
investment-company-with-variable-capital,2010-11,405,
investment-company-with-variable-capital-securities,2010-11,11,
investment-company-with-variable-capital-umbrella,2010-11,90,
limited-liability-partnership,2010-11,46034,
limited-partnership,2010-11,19438,
northern-ireland-company,2010-11,0,
old-public-company,2010-11,28,
other-company-type,2010-11,12,
other-type-of-company-in-northern-ireland,2010-11,0,
overseas-company,2010-11,9623,
-private-limited,2010-11,2569555,
-private-limited-by-guarantee/no-share-capital,2010-11,72905,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2010-11,35162,
-private-limited-by-shares-section-30-exemption,2010-11,19,
-private-unlimited,2010-11,6607,
-private-unlimited/no-share-capital,2010-11,114,
-public-limited-company,2010-11,8521,
protected-cell-company,2010-11,0,
registered-society,2010-11,9063,
royal-charter-company,2010-11,824,
scottish-charitable-incorporated-organisation,2010-11,0,
scottish-partnership,2010-11,0,
united-kingdom-economic-interest-grouping,2010-11,,z
united-kingdom-societas,2010-11,,z
unregistered-company,2010-11,46,
total,2010-11,2779642,
assurance-company,2011-12,929,
charitable-incorporated-organisation,2011-12,0,
european-economic-interest-grouping-eeig,2011-12,244,
european-public-limited-liability-company-se,2011-12,25,
further-education-and-sixth-form-college-corps,2011-12,0,
investment-company-with-variable-capital,2011-12,422,
investment-company-with-variable-capital-securities,2011-12,11,
investment-company-with-variable-capital-umbrella,2011-12,90,
limited-liability-partnership,2011-12,52438,
limited-partnership,2011-12,21720,
northern-ireland-company,2011-12,0,
old-public-company,2011-12,27,
other-company-type,2011-12,12,
other-type-of-company-in-northern-ireland,2011-12,0,
overseas-company,2011-12,10079,
-private-limited,2011-12,2730394,
-private-limited-by-guarantee/no-share-capital,2011-12,79045,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2011-12,38222,
-private-limited-by-shares-section-30-exemption,2011-12,17,
-private-unlimited,2011-12,6838,
-private-unlimited/no-share-capital,2011-12,127,
-public-limited-company,2011-12,8188,
protected-cell-company,2011-12,0,
registered-society,2011-12,9396,
royal-charter-company,2011-12,828,
scottish-charitable-incorporated-organisation,2011-12,0,
scottish-partnership,2011-12,0,
united-kingdom-economic-interest-grouping,2011-12,,z
united-kingdom-societas,2011-12,,z
unregistered-company,2011-12,46,
total,2011-12,2959098,
assurance-company,2012-13,929,
charitable-incorporated-organisation,2012-13,0,
european-economic-interest-grouping-eeig,2012-13,257,
european-public-limited-liability-company-se,2012-13,63,
further-education-and-sixth-form-college-corps,2012-13,0,
investment-company-with-variable-capital,2012-13,496,
investment-company-with-variable-capital-securities,2012-13,11,
investment-company-with-variable-capital-umbrella,2012-13,90,
limited-liability-partnership,2012-13,57100,
limited-partnership,2012-13,24489,
northern-ireland-company,2012-13,0,
old-public-company,2012-13,27,
other-company-type,2012-13,12,
other-type-of-company-in-northern-ireland,2012-13,0,
overseas-company,2012-13,10526,
-private-limited,2012-13,2908898,
-private-limited-by-guarantee/no-share-capital,2012-13,86339,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2012-13,40438,
-private-limited-by-shares-section-30-exemption,2012-13,18,
-private-unlimited,2012-13,5499,
-private-unlimited/no-share-capital,2012-13,141,
-public-limited-company,2012-13,7902,
protected-cell-company,2012-13,0,
registered-society,2012-13,9739,
royal-charter-company,2012-13,836,
scottish-charitable-incorporated-organisation,2012-13,0,
scottish-partnership,2012-13,0,
united-kingdom-economic-interest-grouping,2012-13,,z
united-kingdom-societas,2012-13,,z
unregistered-company,2012-13,44,
total,2012-13,3153854,
assurance-company,2013-14,929,
charitable-incorporated-organisation,2013-14,0,
european-economic-interest-grouping-eeig,2013-14,268,
european-public-limited-liability-company-se,2013-14,62,
further-education-and-sixth-form-college-corps,2013-14,0,
investment-company-with-variable-capital,2013-14,532,
investment-company-with-variable-capital-securities,2013-14,11,
investment-company-with-variable-capital-umbrella,2013-14,90,
limited-liability-partnership,2013-14,59710,
limited-partnership,2013-14,28515,
northern-ireland-company,2013-14,0,
old-public-company,2013-14,27,
other-company-type,2013-14,12,
other-type-of-company-in-northern-ireland,2013-14,0,
overseas-company,2013-14,10945,
-private-limited,2013-14,3105290,
-private-limited-by-guarantee/no-share-capital,2013-14,91920,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2013-14,41605,
-private-limited-by-shares-section-30-exemption,2013-14,18,
-private-unlimited,2013-14,5093,
-private-unlimited/no-share-capital,2013-14,205,
-public-limited-company,2013-14,7788,
protected-cell-company,2013-14,0,
registered-society,2013-14,10061,
royal-charter-company,2013-14,844,
scottish-charitable-incorporated-organisation,2013-14,0,
scottish-partnership,2013-14,0,
united-kingdom-economic-interest-grouping,2013-14,,z
united-kingdom-societas,2013-14,,z
unregistered-company,2013-14,44,
total,2013-14,3363969,
assurance-company,2014-15,929,
charitable-incorporated-organisation,2014-15,0,
european-economic-interest-grouping-eeig,2014-15,274,
european-public-limited-liability-company-se,2014-15,45,
further-education-and-sixth-form-college-corps,2014-15,0,
investment-company-with-variable-capital,2014-15,543,
investment-company-with-variable-capital-securities,2014-15,11,
investment-company-with-variable-capital-umbrella,2014-15,88,
limited-liability-partnership,2014-15,59743,
limited-partnership,2014-15,32021,
northern-ireland-company,2014-15,0,
old-public-company,2014-15,28,
other-company-type,2014-15,14,
other-type-of-company-in-northern-ireland,2014-15,0,
overseas-company,2014-15,11118,
-private-limited,2014-15,3257092,
-private-limited-by-guarantee/no-share-capital,2014-15,95059,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2014-15,42085,
-private-limited-by-shares-section-30-exemption,2014-15,17,
-private-unlimited,2014-15,4954,
-private-unlimited/no-share-capital,2014-15,230,
-public-limited-company,2014-15,7592,
protected-cell-company,2014-15,0,
registered-society,2014-15,10205,
royal-charter-company,2014-15,849,
scottish-charitable-incorporated-organisation,2014-15,0,
scottish-partnership,2014-15,0,
united-kingdom-economic-interest-grouping,2014-15,,z
united-kingdom-societas,2014-15,,z
unregistered-company,2014-15,43,
total,2014-15,3522940,
assurance-company,2015-16,926,
charitable-incorporated-organisation,2015-16,0,
european-economic-interest-grouping-eeig,2015-16,291,
european-public-limited-liability-company-se,2015-16,53,
further-education-and-sixth-form-college-corps,2015-16,0,
investment-company-with-variable-capital,2015-16,552,
investment-company-with-variable-capital-securities,2015-16,11,
investment-company-with-variable-capital-umbrella,2015-16,86,
limited-liability-partnership,2015-16,60209,
limited-partnership,2015-16,39601,
northern-ireland-company,2015-16,0,
old-public-company,2015-16,28,
other-company-type,2015-16,7,
other-type-of-company-in-northern-ireland,2015-16,0,
overseas-company,2015-16,11456,
-private-limited,2015-16,3524747,
-private-limited-by-guarantee/no-share-capital,2015-16,100048,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2015-16,42295,
-private-limited-by-shares-section-30-exemption,2015-16,20,
-private-unlimited,2015-16,4601,
-private-unlimited/no-share-capital,2015-16,264,
-public-limited-company,2015-16,7144,
protected-cell-company,2015-16,0,
registered-society,2015-16,10506,
royal-charter-company,2015-16,853,
scottish-charitable-incorporated-organisation,2015-16,0,
scottish-partnership,2015-16,0,
united-kingdom-economic-interest-grouping,2015-16,,z
united-kingdom-societas,2015-16,,z
unregistered-company,2015-16,43,
total,2015-16,3803741,
assurance-company,2016-17,926,
charitable-incorporated-organisation,2016-17,0,
european-economic-interest-grouping-eeig,2016-17,294,
european-public-limited-liability-company-se,2016-17,50,
further-education-and-sixth-form-college-corps,2016-17,0,
investment-company-with-variable-capital,2016-17,552,
investment-company-with-variable-capital-securities,2016-17,11,
investment-company-with-variable-capital-umbrella,2016-17,86,
limited-liability-partnership,2016-17,60778,
limited-partnership,2016-17,45250,
northern-ireland-company,2016-17,0,
old-public-company,2016-17,31,
other-company-type,2016-17,7,
other-type-of-company-in-northern-ireland,2016-17,0,
overseas-company,2016-17,11720,
-private-limited,2016-17,3737487,
-private-limited-by-guarantee/no-share-capital,2016-17,105429,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2016-17,42482,
-private-limited-by-shares-section-30-exemption,2016-17,20,
-private-unlimited,2016-17,4420,
-private-unlimited/no-share-capital,2016-17,254,
-public-limited-company,2016-17,6939,
protected-cell-company,2016-17,0,
registered-society,2016-17,10636,
royal-charter-company,2016-17,859,
scottish-charitable-incorporated-organisation,2016-17,0,
scottish-partnership,2016-17,0,
united-kingdom-economic-interest-grouping,2016-17,,z
united-kingdom-societas,2016-17,,z
unregistered-company,2016-17,43,
total,2016-17,4028274,
assurance-company,2017-18,926,
charitable-incorporated-organisation,2017-18,13682,
european-economic-interest-grouping-eeig,2017-18,303,
european-public-limited-liability-company-se,2017-18,40,
further-education-and-sixth-form-college-corps,2017-18,0,
investment-company-with-variable-capital,2017-18,561,
investment-company-with-variable-capital-securities,2017-18,10,
investment-company-with-variable-capital-umbrella,2017-18,84,
limited-liability-partnership,2017-18,53848,
limited-partnership,2017-18,49287,
northern-ireland-company,2017-18,0,
old-public-company,2017-18,35,
other-company-type,2017-18,7,
other-type-of-company-in-northern-ireland,2017-18,0,
overseas-company,2017-18,11941,
-private-limited,2017-18,3874968,
-private-limited-by-guarantee/no-share-capital,2017-18,105092,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2017-18,42174,
-private-limited-by-shares-section-30-exemption,2017-18,18,
-private-unlimited,2017-18,4374,
-private-unlimited/no-share-capital,2017-18,250,
-public-limited-company,2017-18,6756,
protected-cell-company,2017-18,1,
registered-society,2017-18,10639,
royal-charter-company,2017-18,859,
scottish-charitable-incorporated-organisation,2017-18,3310,
scottish-partnership,2017-18,549,
united-kingdom-economic-interest-grouping,2017-18,,z
united-kingdom-societas,2017-18,,z
unregistered-company,2017-18,42,
total,2017-18,4179756,
assurance-company,2018-19,926,
charitable-incorporated-organisation,2018-19,16999,
european-economic-interest-grouping-eeig,2018-19,294,
european-public-limited-liability-company-se,2018-19,47,
further-education-and-sixth-form-college-corps,2018-19,0,
investment-company-with-variable-capital,2018-19,583,
investment-company-with-variable-capital-securities,2018-19,10,
investment-company-with-variable-capital-umbrella,2018-19,80,
limited-liability-partnership,2018-19,52429,
limited-partnership,2018-19,51761,
northern-ireland-company,2018-19,0,
old-public-company,2018-19,35,
other-company-type,2018-19,7,
other-type-of-company-in-northern-ireland,2018-19,0,
overseas-company,2018-19,12236,
-private-limited,2018-19,4040779,
-private-limited-by-guarantee/no-share-capital,2018-19,108483,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2018-19,41923,
-private-limited-by-shares-section-30-exemption,2018-19,18,
-private-unlimited,2018-19,4291,
-private-unlimited/no-share-capital,2018-19,140,
-public-limited-company,2018-19,6529,
protected-cell-company,2018-19,4,
registered-society,2018-19,10677,
royal-charter-company,2018-19,862,
scottish-charitable-incorporated-organisation,2018-19,3864,
scottish-partnership,2018-19,369,
united-kingdom-economic-interest-grouping,2018-19,,z
united-kingdom-societas,2018-19,,z
unregistered-company,2018-19,39,
total,2018-19,4353385,
assurance-company,2019-20,926,
charitable-incorporated-organisation,2019-20,21351,
european-economic-interest-grouping-eeig,2019-20,285,
european-public-limited-liability-company-se,2019-20,32,
further-education-and-sixth-form-college-corps,2019-20,2,
investment-company-with-variable-capital,2019-20,594,
investment-company-with-variable-capital-securities,2019-20,10,
investment-company-with-variable-capital-umbrella,2019-20,76,
limited-liability-partnership,2019-20,51154,
limited-partnership,2019-20,53273,
northern-ireland-company,2019-20,0,
old-public-company,2019-20,35,
other-company-type,2019-20,7,
other-type-of-company-in-northern-ireland,2019-20,0,
overseas-company,2019-20,12668,
-private-limited,2019-20,4183970,
-private-limited-by-guarantee/no-share-capital,2019-20,115142,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2019-20,41201,
-private-limited-by-shares-section-30-exemption,2019-20,18,
-private-unlimited,2019-20,4263,
-private-unlimited/no-share-capital,2019-20,125,
-public-limited-company,2019-20,6198,
protected-cell-company,2019-20,4,
registered-society,2019-20,10906,
royal-charter-company,2019-20,872,
scottish-charitable-incorporated-organisation,2019-20,4420,
scottish-partnership,2019-20,328,
united-kingdom-economic-interest-grouping,2019-20,,z
united-kingdom-societas,2019-20,,z
unregistered-company,2019-20,41,
total,2019-20,4507901,
assurance-company,2020-21,926,
charitable-incorporated-organisation,2020-21,25028,
european-economic-interest-grouping-eeig,2020-21,12,
european-public-limited-liability-company-se,2020-21,1,
further-education-and-sixth-form-college-corps,2020-21,2,
investment-company-with-variable-capital,2020-21,623,
investment-company-with-variable-capital-securities,2020-21,10,
investment-company-with-variable-capital-umbrella,2020-21,74,
limited-liability-partnership,2020-21,52262,
limited-partnership,2020-21,54604,
northern-ireland-company,2020-21,0,
old-public-company,2020-21,32,
other-company-type,2020-21,7,
other-type-of-company-in-northern-ireland,2020-21,0,
overseas-company,2020-21,12910,
-private-limited,2020-21,4539191,
-private-limited-by-guarantee/no-share-capital,2020-21,125478,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2020-21,40920,
-private-limited-by-shares-section-30-exemption,2020-21,17,
-private-unlimited,2020-21,4303,
-private-unlimited/no-share-capital,2020-21,118,
-public-limited-company,2020-21,6103,
protected-cell-company,2020-21,5,
registered-society,2020-21,11984,
royal-charter-company,2020-21,878,
scottish-charitable-incorporated-organisation,2020-21,4950,
scottish-partnership,2020-21,309,
united-kingdom-economic-interest-grouping,2020-21,270,r
united-kingdom-societas,2020-21,27,r
unregistered-company,2020-21,43,r
total,2020-21,4881087,
assurance-company,2021-22,923,
charitable-incorporated-organisation,2021-22,28723,
european-economic-interest-grouping-eeig,2021-22,11,
european-public-limited-liability-company-se,2021-22,1,
further-education-and-sixth-form-college-corps,2021-22,2,
investment-company-with-variable-capital,2021-22,626,
investment-company-with-variable-capital-securities,2021-22,10,
investment-company-with-variable-capital-umbrella,2021-22,73,
limited-liability-partnership,2021-22,52394,
limited-partnership,2021-22,56244,
northern-ireland-company,2021-22,0,
old-public-company,2021-22,25,
other-company-type,2021-22,7,
other-type-of-company-in-northern-ireland,2021-22,0,
overseas-company,2021-22,13558,
-private-limited,2021-22,4713538,
-private-limited-by-guarantee/no-share-capital,2021-22,130268,
-private-limited-by-guarantee/no-share-capital-use-of-limited-exemption,2021-22,40103,
-private-limited-by-shares-section-30-exemption,2021-22,16,
-private-unlimited,2021-22,4399,
-private-unlimited/no-share-capital,2021-22,110,
-public-limited-company,2021-22,5951,
protected-cell-company,2021-22,5,
registered-society,2021-22,10240,
royal-charter-company,2021-22,884,
scottish-charitable-incorporated-organisation,2021-22,5454,
scottish-partnership,2021-22,290,
united-kingdom-economic-interest-grouping,2021-22,268,
united-kingdom-societas,2021-22,21,
unregistered-company,2021-22,44,
total,2021-22,5064188,
